caseId,windowInputBits,slideStepBits,tracebackDepthBits,bitIndex,receiveTimeInputBit,decisionTimeInputBit,region
CC-C-R12-S,64,16,35,0,0,63,head
CC-C-R12-S,64,16,35,1,1,63,head
CC-C-R12-S,64,16,35,2,2,63,head
CC-C-R12-S,64,16,35,3,3,63,head
CC-C-R12-S,64,16,35,4,4,63,head
CC-C-R12-S,64,16,35,5,5,63,head
CC-C-R12-S,64,16,35,6,6,63,head
CC-C-R12-S,64,16,35,7,7,63,head
CC-C-R12-S,64,16,35,8,8,63,head
CC-C-R12-S,64,16,35,9,9,63,head
CC-C-R12-S,64,16,35,10,10,63,head
CC-C-R12-S,64,16,35,11,11,63,head
CC-C-R12-S,64,16,35,12,12,63,head
CC-C-R12-S,64,16,35,13,13,63,head
CC-C-R12-S,64,16,35,14,14,63,head
CC-C-R12-S,64,16,35,15,15,63,head
CC-C-R12-S,64,16,35,16,16,79,head
CC-C-R12-S,64,16,35,17,17,79,head
CC-C-R12-S,64,16,35,18,18,79,head
CC-C-R12-S,64,16,35,19,19,79,head
CC-C-R12-S,64,16,35,20,20,79,head
CC-C-R12-S,64,16,35,21,21,79,head
CC-C-R12-S,64,16,35,22,22,79,head
CC-C-R12-S,64,16,35,23,23,79,head
CC-C-R12-S,64,16,35,24,24,79,head
CC-C-R12-S,64,16,35,25,25,79,head
CC-C-R12-S,64,16,35,26,26,79,head
CC-C-R12-S,64,16,35,27,27,79,head
CC-C-R12-S,64,16,35,28,28,79,head
CC-C-R12-S,64,16,35,29,29,79,head
CC-C-R12-S,64,16,35,30,30,79,head
CC-C-R12-S,64,16,35,31,31,79,head
CC-C-R12-S,64,16,35,32,32,95,head
CC-C-R12-S,64,16,35,33,33,95,head
CC-C-R12-S,64,16,35,34,34,95,head
CC-C-R12-S,64,16,35,35,35,95,head
CC-C-R12-S,64,16,35,36,36,95,head
CC-C-R12-S,64,16,35,37,37,95,head
CC-C-R12-S,64,16,35,38,38,95,head
CC-C-R12-S,64,16,35,39,39,95,head
CC-C-R12-S,64,16,35,40,40,95,head
CC-C-R12-S,64,16,35,41,41,95,head
CC-C-R12-S,64,16,35,42,42,95,head
CC-C-R12-S,64,16,35,43,43,95,head
CC-C-R12-S,64,16,35,44,44,95,head
CC-C-R12-S,64,16,35,45,45,95,head
CC-C-R12-S,64,16,35,46,46,95,head
CC-C-R12-S,64,16,35,47,47,95,head
CC-C-R12-S,64,16,35,48,48,111,head
CC-C-R12-S,64,16,35,49,49,111,head
CC-C-R12-S,64,16,35,50,50,111,head
CC-C-R12-S,64,16,35,51,51,111,head
CC-C-R12-S,64,16,35,52,52,111,head
CC-C-R12-S,64,16,35,53,53,111,head
CC-C-R12-S,64,16,35,54,54,111,head
CC-C-R12-S,64,16,35,55,55,111,head
CC-C-R12-S,64,16,35,56,56,111,head
CC-C-R12-S,64,16,35,57,57,111,head
CC-C-R12-S,64,16,35,58,58,111,head
CC-C-R12-S,64,16,35,59,59,111,head
CC-C-R12-S,64,16,35,60,60,111,head
CC-C-R12-S,64,16,35,61,61,111,head
CC-C-R12-S,64,16,35,62,62,111,head
CC-C-R12-S,64,16,35,63,63,111,head
CC-C-R12-S,64,16,35,64,64,127,head
CC-C-R12-S,64,16,35,65,65,127,head
CC-C-R12-S,64,16,35,66,66,127,head
CC-C-R12-S,64,16,35,67,67,127,head
CC-C-R12-S,64,16,35,68,68,127,head
CC-C-R12-S,64,16,35,69,69,127,head
CC-C-R12-S,64,16,35,70,70,127,middle
CC-C-R12-S,64,16,35,71,71,127,middle
CC-C-R12-S,64,16,35,72,72,127,middle
CC-C-R12-S,64,16,35,73,73,127,middle
CC-C-R12-S,64,16,35,74,74,127,middle
CC-C-R12-S,64,16,35,75,75,127,middle
CC-C-R12-S,64,16,35,76,76,127,middle
CC-C-R12-S,64,16,35,77,77,127,middle
CC-C-R12-S,64,16,35,78,78,127,middle
CC-C-R12-S,64,16,35,79,79,127,middle
CC-C-R12-S,64,16,35,80,80,143,middle
CC-C-R12-S,64,16,35,81,81,143,middle
CC-C-R12-S,64,16,35,82,82,143,middle
CC-C-R12-S,64,16,35,83,83,143,middle
CC-C-R12-S,64,16,35,84,84,143,middle
CC-C-R12-S,64,16,35,85,85,143,middle
CC-C-R12-S,64,16,35,86,86,143,middle
CC-C-R12-S,64,16,35,87,87,143,middle
CC-C-R12-S,64,16,35,88,88,143,middle
CC-C-R12-S,64,16,35,89,89,143,middle
CC-C-R12-S,64,16,35,90,90,143,boundary
CC-C-R12-S,64,16,35,91,91,143,boundary
CC-C-R12-S,64,16,35,92,92,143,boundary
CC-C-R12-S,64,16,35,93,93,143,boundary
CC-C-R12-S,64,16,35,94,94,143,boundary
CC-C-R12-S,64,16,35,95,95,143,boundary
CC-C-R12-S,64,16,35,96,96,159,boundary
CC-C-R12-S,64,16,35,97,97,159,boundary
