rowId,payloadLength,encodedLength,actual_rate,ebn0_db,bit,z,sigma2,sigma,noise,transmitted,received,hard_decision,snr_linear,snr_db,conversion_formula
0,200,285,0.701754385964912,-1.5,0,-2.25,1.00643300054371,1.00321134390701,-2.25722552379078,1,-1.25722552379078,1,0.993608118433878,-0.0278486868054784,SNR_dB = EbN0_dB + 10*log10(2*R)
1,200,285,0.701754385964912,-1.5,1,-0.4,1.00643300054371,1.00321134390701,-0.401284537562805,-1,-1.4012845375628,1,0.993608118433878,-0.0278486868054784,SNR_dB = EbN0_dB + 10*log10(2*R)
2,200,285,0.701754385964912,-1.5,0,0,1.00643300054371,1.00321134390701,0,1,1,0,0.993608118433878,-0.0278486868054784,SNR_dB = EbN0_dB + 10*log10(2*R)
3,200,285,0.701754385964912,-1.5,1,0.35,1.00643300054371,1.00321134390701,0.351123970367454,-1,-0.648876029632546,1,0.993608118433878,-0.0278486868054784,SNR_dB = EbN0_dB + 10*log10(2*R)
4,200,285,0.701754385964912,-1.5,0,1.75,1.00643300054371,1.00321134390701,1.75561985183727,1,2.75561985183727,0,0.993608118433878,-0.0278486868054784,SNR_dB = EbN0_dB + 10*log10(2*R)
5,200,248,0.806451612903226,0,1,-2.25,0.62,0.787400787401181,-1.77165177165266,-1,-2.77165177165266,1,1.61290322580645,2.07608310501746,SNR_dB = EbN0_dB + 10*log10(2*R)
6,200,248,0.806451612903226,0,0,-0.4,0.62,0.787400787401181,-0.314960314960472,1,0.685039685039528,0,1.61290322580645,2.07608310501746,SNR_dB = EbN0_dB + 10*log10(2*R)
7,200,248,0.806451612903226,0,1,0,0.62,0.787400787401181,0,-1,-1,1,1.61290322580645,2.07608310501746,SNR_dB = EbN0_dB + 10*log10(2*R)
8,200,248,0.806451612903226,0,0,0.35,0.62,0.787400787401181,0.275590275590413,1,1.27559027559041,0,1.61290322580645,2.07608310501746,SNR_dB = EbN0_dB + 10*log10(2*R)
9,200,248,0.806451612903226,0,1,1.75,0.62,0.787400787401181,1.37795137795207,-1,0.377951377952067,0,1.61290322580645,2.07608310501746,SNR_dB = EbN0_dB + 10*log10(2*R)
10,300,420,0.714285714285714,3.25,0,-2.25,0.331205881273036,0.575504892484014,-1.29488600808903,1,-0.294886008089031,1,3.0192700569095,4.79901959985743,SNR_dB = EbN0_dB + 10*log10(2*R)
11,300,420,0.714285714285714,3.25,1,-0.4,0.331205881273036,0.575504892484014,-0.230201956993606,-1,-1.23020195699361,1,3.0192700569095,4.79901959985743,SNR_dB = EbN0_dB + 10*log10(2*R)
12,300,420,0.714285714285714,3.25,0,0,0.331205881273036,0.575504892484014,0,1,1,0,3.0192700569095,4.79901959985743,SNR_dB = EbN0_dB + 10*log10(2*R)
13,300,420,0.714285714285714,3.25,1,0.35,0.331205881273036,0.575504892484014,0.201426712369405,-1,-0.798573287630595,1,3.0192700569095,4.79901959985743,SNR_dB = EbN0_dB + 10*log10(2*R)
14,300,420,0.714285714285714,3.25,0,1.75,0.331205881273036,0.575504892484014,1.00713356184702,1,2.00713356184702,0,3.0192700569095,4.79901959985743,SNR_dB = EbN0_dB + 10*log10(2*R)
15,300,390,0.769230769230769,7,1,-2.25,0.129692050472977,0.360127825185693,-0.81028760666781,-1,-1.81028760666781,1,7.71057282503496,8.87086643357144,SNR_dB = EbN0_dB + 10*log10(2*R)
16,300,390,0.769230769230769,7,0,-0.4,0.129692050472977,0.360127825185693,-0.144051130074277,1,0.855948869925723,0,7.71057282503496,8.87086643357144,SNR_dB = EbN0_dB + 10*log10(2*R)
17,300,390,0.769230769230769,7,1,0,0.129692050472977,0.360127825185693,0,-1,-1,1,7.71057282503496,8.87086643357144,SNR_dB = EbN0_dB + 10*log10(2*R)
18,300,390,0.769230769230769,7,0,0.35,0.129692050472977,0.360127825185693,0.126044738814993,1,1.12604473881499,0,7.71057282503496,8.87086643357144,SNR_dB = EbN0_dB + 10*log10(2*R)
19,300,390,0.769230769230769,7,1,1.75,0.129692050472977,0.360127825185693,0.630223694074963,-1,-0.369776305925037,1,7.71057282503496,8.87086643357144,SNR_dB = EbN0_dB + 10*log10(2*R)
