caseId,burstLengthIndex,burstLengthBits
K200_S15,1,1
K200_S15,5,5
K200_S15,9,12
K200_S15,13,30
K200_M255K207,1,1
K200_M255K207,5,5
K200_M255K207,9,12
K200_M255K207,13,30
K200_M511K421,1,1
K200_M511K421,5,5
K200_M511K421,9,12
K200_M511K421,13,30
K200_M511K385,1,1
K200_M511K385,5,5
K200_M511K385,9,12
K200_M511K385,13,30
K300_S15,1,1
K300_S15,5,5
K300_S15,9,12
K300_S15,13,30
K300_M255K207,1,1
K300_M255K207,5,5
K300_M255K207,9,12
K300_M255K207,13,30
K300_M511K421,1,1
K300_M511K421,5,5
K300_M511K421,9,12
K300_M511K421,13,30
K300_M511K385,1,1
K300_M511K385,5,5
K300_M511K385,9,12
K300_M511K385,13,30
