caseId,burstLengthIndex,burstLengthBits
K200_S15,2,2
K200_S15,6,6
K200_S15,10,15
K200_S15,14,40
K200_M255K207,2,2
K200_M255K207,6,6
K200_M255K207,10,15
K200_M255K207,14,40
K200_M511K421,2,2
K200_M511K421,6,6
K200_M511K421,10,15
K200_M511K421,14,40
K200_M511K385,2,2
K200_M511K385,6,6
K200_M511K385,10,15
K200_M511K385,14,40
K300_S15,2,2
K300_S15,6,6
K300_S15,10,15
K300_S15,14,40
K300_M255K207,2,2
K300_M255K207,6,6
K300_M255K207,10,15
K300_M255K207,14,40
K300_M511K421,2,2
K300_M511K421,6,6
K300_M511K421,10,15
K300_M511K421,14,40
K300_M511K385,2,2
K300_M511K385,6,6
K300_M511K385,10,15
K300_M511K385,14,40
