caseId,burstLengthIndex,burstLengthBits
K200_S15,0,0
K200_S15,4,4
K200_S15,8,10
K200_S15,12,25
K200_M255K207,0,0
K200_M255K207,4,4
K200_M255K207,8,10
K200_M255K207,12,25
K200_M511K421,0,0
K200_M511K421,4,4
K200_M511K421,8,10
K200_M511K421,12,25
K200_M511K385,0,0
K200_M511K385,4,4
K200_M511K385,8,10
K200_M511K385,12,25
K300_S15,0,0
K300_S15,4,4
K300_S15,8,10
K300_S15,12,25
K300_M255K207,0,0
K300_M255K207,4,4
K300_M255K207,8,10
K300_M255K207,12,25
K300_M511K421,0,0
K300_M511K421,4,4
K300_M511K421,8,10
K300_M511K421,12,25
K300_M511K385,0,0
K300_M511K385,4,4
K300_M511K385,8,10
K300_M511K385,12,25
