requirementId,requirement,implementationFiles,positiveTests,negativeTests,gate,status,evidence
G1-001,NoiseKey contains only masterNoiseSeed noiseGroupId frameIndex symbolIndex and noisePolicyVersion,"random_policy.hpp;random_policy.cpp","test_common04_random_policy.cpp","unsupported policy version; source scan for snrIndex ebN0_dB codeType decoderType",PASS_COMMON_RANDOM_POLICY,PASS,check_common04.py:executed_real_gate_suite
G1-002,Noise key uses frozen noiseDomainSeparator and is isolated from Common-03 payload key space,"random_policy.hpp;random_policy.cpp","test_common04_random_policy.cpp","mutated domain separator; accidental payload splitmix key reuse scan",PASS_COMMON_RANDOM_POLICY,PASS,check_common04.py:executed_real_gate_suite
G1-003,Same NoiseKey produces identical uint64 samples,"random_policy.hpp;random_policy.cpp","test_common04_random_policy.cpp","none",PASS_COMMON_RANDOM_POLICY,PASS,check_common04.py:executed_real_gate_suite
G1-004,Frozen sample set changes when frameIndex symbolIndex noiseGroupId or masterNoiseSeed changes without claiming all-domain no-collision proof,"random_policy.hpp;random_policy.cpp","test_common04_random_policy.cpp","sample-set collision regression",PASS_COMMON_RANDOM_POLICY,PASS,check_common04.py:executed_real_gate_suite
G1-005,Shard generation equals continuous generation and resume generation is deterministic,"random_policy.hpp;random_policy.cpp;simulation_control.cpp","test_common04_random_policy.cpp","execution-order mutation",PASS_COMMON_RANDOM_POLICY,PASS,check_common04.py:executed_real_gate_suite
G1-006,C++ and Python uint64 golden vectors match,"random_policy.hpp;compare_common04_cpp_python.py","test_common04_random_policy.cpp","golden mismatch",PASS_COMMON_RANDOM_POLICY,PASS,compare_common04_cpp_python.py:uint64_golden_mismatch=0
G1-007,No random_device system clock pid thread id task order or std hash dependency,"random_policy.cpp;check_common04.py","check_common04.py","source forbidden marker scan",PASS_COMMON_RANDOM_POLICY,PASS,check_common04.py:executed_real_gate_suite
G2-001,Box-Muller deterministic standard Gaussian samples by key,"gaussian_noise.hpp;gaussian_noise.cpp","test_common04_gaussian_noise.cpp","uniform zero; unsupported policy",PASS_COMMON_GAUSSIAN_NOISE,PASS,check_common04.py:executed_real_gate_suite
G2-002,Frame independent standard mother noise excludes SNR from key,"gaussian_noise.hpp;gaussian_noise.cpp","test_common04_gaussian_noise.cpp","copy-one-frame mutation; SNR key scan",PASS_COMMON_GAUSSIAN_NOISE,PASS,check_common04.py:executed_real_gate_suite
G2-003,Gaussian sanity uses frozen sample count and tolerances,"gaussian_noise.cpp;check_common04.py","check_common04.py","mean or variance outside frozen sanity tolerance",PASS_COMMON_GAUSSIAN_NOISE,PASS,check_common04.py:executed_real_gate_suite
G2-004,Noise shard has versioned binary header with frozen magic and header version,"noise_pool.hpp;noise_pool.cpp;generate_common04_noise_pool.py","validate_common04_noise_pool.py","bad magic; unsupported header version",PASS_COMMON_GAUSSIAN_NOISE,PASS,check_common04.py:executed_real_gate_suite
G2-005,Noise shard header is serialized field by field and never by raw C++ struct memory,"noise_pool.cpp;check_common04.py","check_common04.py","source scan for raw struct write or padding-dependent serialization",PASS_COMMON_GAUSSIAN_NOISE,PASS,check_common04.py:executed_real_gate_suite
