gate,status,evidence,sourceAbsolutePath,sourceSha256
R,PASS,Stage23 final reintegration validation PASS; 31 selected points status PASS,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\validation_report.md,e2bc48f8ec638200f8c126334d0079779447a7e08254d2dab1524bbc7e8be71d
S,PASS,Formal chain explicitly excludes interleaving; selected interleaver=NONE,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_config.json,83e4cf591a3c7f946019b5922aa6deae624397309c9e2306a947e45c89c1587d
T,PASS,LDPC payloadBits=300 equals CC payloadBits=300,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_case_metadata.csv,abc45e6a529c85c2b4b334510e459bf3ab6d88637ee3e0932f163c3f0cdb0963
U,PASS,LDPC rate=300/640=0.46875; CC rate=300/612=0.49019607843137253,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_case_metadata.csv,abc45e6a529c85c2b4b334510e459bf3ab6d88637ee3e0932f163c3f0cdb0963
V,PASS,Both use Es/N0 and sigmaSquared=1/(2*10^(EsN0Db/10)); no conversion,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_config.json,83e4cf591a3c7f946019b5922aa6deae624397309c9e2306a947e45c89c1587d
W,PASS,LDPC bitErrors count decoded payload[0:300] mismatches; denominator=300*frames,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\current\src\main.cpp,c7c9359bb16bf96d1af2a81499299c8430c1732fbcfb6a719c829bba67ecbb2e
X,PASS,LDPC frameErrors increments iff payload error count is nonzero,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\current\src\main.cpp,c7c9359bb16bf96d1af2a81499299c8430c1732fbcfb6a719c829bba67ecbb2e
Y,PASS,Historical Stage23 CSV reused; LDPC formal rerun=NO,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
Z,PASS,31 exact source rows; interpolation=false; synthetic=false,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
AA,PASS,LDPC is NO_BURST_AWGN and is forbidden from position plots,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
AB,PASS,comparisonRole excludes LDPC from interleaver ranking,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage12r_alpha_curve_selection\results\alpha_selection_report.md,f3c40ee9896b845cb56b4ef82c84a980cd77f4ff860eccf120c4242c057f6daa
