scheme,figureId,figureTitle,recommendedLayout,pairedWith,chapterSection,importanceLevel,coverageDecision,notes
BCH,01_methods_fer,BCH 5%突发下不同交织配置误帧率,PAIR,02_methods_ber,9.3.1,A,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,02_methods_ber,BCH 5%突发下不同交织配置误码率,PAIR,01_methods_fer,9.3.1,A,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,03_burst_2_fer,BCH 2%突发下不同交织配置误帧率,SINGLE,N/A,9.3.2/9.3.2,A,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,04_burst_5_fer,BCH 5%突发下不同交织配置误帧率,SINGLE,N/A,9.3.2/9.3.2,A,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,05_burst_10_fer,BCH 10%突发下不同交织配置误帧率,SINGLE,N/A,9.3.2/9.3.2,A,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,06_six_positions_fer,BCH 六种突发位置误帧率,SINGLE,N/A,9.3.3/9.3.3,A,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,07_mean_position_fer,BCH 5%突发平均位置误帧率,TRIPLE,N/A,9.3.3/9.3.3,A,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,08_max_position_fer,BCH 5%突发最坏位置误帧率,TRIPLE,N/A,9.3.3/9.3.3,A,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,09_min_position_fer,BCH 5%突发最好位置误帧率,TRIPLE,N/A,9.3.3/9.3.3,A,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,10_position_sensitivity,BCH 位置敏感度,SINGLE,N/A,9.3.3/9.3.3,A,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,11_absoluteFerImprovement,BCH 5%突发FER绝对改善量,SINGLE,N/A,9.3.5/9.3.6,B,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,12_relativeFerReductionPercent,BCH 5%突发FER相对降低率,SINGLE,N/A,9.3.5/9.3.6,B,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,13_target_fer_esn0_gain,BCH 目标 FER 下 Es/N0 改善,SINGLE,N/A,9.3.5/9.3.6,B,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
BCH,14_affected_bch_blocks,BCH 受影响子块数,SINGLE,N/A,9.3.4/9.3.4/9.3.5,A,main text or three-line table evidence; not appendix,Evidence maps to existing Stage15 figure data and manifest.
