figure,scheme,burstRatios,reportDecision,reason,replacementFigure,sourceData
01_methods_fer,BCH,0;0.05,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv
02_methods_ber,BCH,0;0.05,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv
03_burst_2_fer,BCH,0;0.02,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv
04_burst_5_fer,BCH,0;0.05,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv
05_burst_10_fer,BCH,0;0.1,EXCLUDE_10_PERCENT,Dedicated 10% result; retained as an experiment asset but not referenced by Chapter 9.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv
06_six_positions_fer,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
07_mean_position_fer,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
08_max_position_fer,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
09_min_position_fer,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
10_position_sensitivity,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
11_absoluteFerImprovement,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
