seedId,errorWeight,messageIndex,messageBits,originalCodeword,errorPositions,receivedBits,syndromeBefore,lookupHit,correctedPosition,syndromeAfter,status,correctedCodeword,decodedMessage,codewordRecovered,payloadRecovered,miscorrection,pass
D_01,2,0,00000000000,000000000000000,0;1,110000000000000,0100,true,12,0000,CORRECTED_SINGLE_ERROR,110000000000100,11000000000,false,false,true,true
D_01,2,1,11111111111,111111111111111,0;1,001111111111111,0100,true,12,0000,CORRECTED_SINGLE_ERROR,001111111111011,00111111111,false,false,true,true
D_01,2,2,10101010101,101010101011011,0;1,011010101011011,0100,true,12,0000,CORRECTED_SINGLE_ERROR,011010101011111,01101010101,false,false,true,true
D_01,2,3,01010101010,010101010100100,0;1,100101010100100,0100,true,12,0000,CORRECTED_SINGLE_ERROR,100101010100000,10010101010,false,false,true,true
D_02,2,0,00000000000,000000000000000,0;10,100000000010000,1010,true,5,0000,CORRECTED_SINGLE_ERROR,100001000010000,10000100001,false,false,true,true
D_02,2,1,11111111111,111111111111111,0;10,011111111101111,1010,true,5,0000,CORRECTED_SINGLE_ERROR,011110111101111,01111011110,false,false,true,true
D_02,2,2,10101010101,101010101011011,0;10,001010101001011,1010,true,5,0000,CORRECTED_SINGLE_ERROR,001011101001011,00101110100,false,false,true,true
D_02,2,3,01010101010,010101010100100,0;10,110101010110100,1010,true,5,0000,CORRECTED_SINGLE_ERROR,110100010110100,11010001011,false,false,true,true
D_03,2,0,00000000000,000000000000000,0;14,100000000000001,1000,true,11,0000,CORRECTED_SINGLE_ERROR,100000000001001,10000000000,false,false,true,true
D_03,2,1,11111111111,111111111111111,0;14,011111111111110,1000,true,11,0000,CORRECTED_SINGLE_ERROR,011111111110110,01111111111,false,false,true,true
D_03,2,2,10101010101,101010101011011,0;14,001010101011010,1000,true,11,0000,CORRECTED_SINGLE_ERROR,001010101010010,00101010101,false,false,true,true
D_03,2,3,01010101010,010101010100100,0;14,110101010100101,1000,true,11,0000,CORRECTED_SINGLE_ERROR,110101010101101,11010101010,false,false,true,true
D_04,2,0,00000000000,000000000000000,1;11,010000000001000,0101,true,6,0000,CORRECTED_SINGLE_ERROR,010000100001000,01000010000,false,false,true,true
D_04,2,1,11111111111,111111111111111,1;11,101111111110111,0101,true,6,0000,CORRECTED_SINGLE_ERROR,101111011110111,10111101111,false,false,true,true
D_04,2,2,10101010101,101010101011011,1;11,111010101010011,0101,true,6,0000,CORRECTED_SINGLE_ERROR,111010001010011,11101000101,false,false,true,true
D_04,2,3,01010101010,010101010100100,1;11,000101010101100,0101,true,6,0000,CORRECTED_SINGLE_ERROR,000101110101100,00010111010,false,false,true,true
D_05,2,0,00000000000,000000000000000,2;8,001000001000000,0011,true,10,0000,CORRECTED_SINGLE_ERROR,001000001010000,00100000101,false,false,true,true
D_05,2,1,11111111111,111111111111111,2;8,110111110111111,0011,true,10,0000,CORRECTED_SINGLE_ERROR,110111110101111,11011111010,false,false,true,true
D_05,2,2,10101010101,101010101011011,2;8,100010100011011,0011,true,10,0000,CORRECTED_SINGLE_ERROR,100010100001011,10001010000,false,false,true,true
D_05,2,3,01010101010,010101010100100,2;8,011101011100100,0011,true,10,0000,CORRECTED_SINGLE_ERROR,011101011110100,01110101111,false,false,true,true
D_06,2,0,00000000000,000000000000000,4;5,000011000000000,1101,true,1,0000,CORRECTED_SINGLE_ERROR,010011000000000,01001100000,false,false,true,true
D_06,2,1,11111111111,111111111111111,4;5,111100111111111,1101,true,1,0000,CORRECTED_SINGLE_ERROR,101100111111111,10110011111,false,false,true,true
D_06,2,2,10101010101,101010101011011,4;5,101001101011011,1101,true,1,0000,CORRECTED_SINGLE_ERROR,111001101011011,11100110101,false,false,true,true
D_06,2,3,01010101010,010101010100100,4;5,010110010100100,1101,true,1,0000,CORRECTED_SINGLE_ERROR,000110010100100,00011001010,false,false,true,true
D_07,2,0,00000000000,000000000000000,10;11,000000000011000,1011,true,7,0000,CORRECTED_SINGLE_ERROR,000000010011000,00000001001,false,false,true,true
D_07,2,1,11111111111,111111111111111,10;11,111111111100111,1011,true,7,0000,CORRECTED_SINGLE_ERROR,111111101100111,11111110110,false,false,true,true
D_07,2,2,10101010101,101010101011011,10;11,101010101000011,1011,true,7,0000,CORRECTED_SINGLE_ERROR,101010111000011,10101011100,false,false,true,true
D_07,2,3,01010101010,010101010100100,10;11,010101010111100,1011,true,7,0000,CORRECTED_SINGLE_ERROR,010101000111100,01010100011,false,false,true,true
D_08,2,0,00000000000,000000000000000,11;12,000000000001100,1100,true,8,0000,CORRECTED_SINGLE_ERROR,000000001001100,00000000100,false,false,true,true
D_08,2,1,11111111111,111111111111111,11;12,111111111110011,1100,true,8,0000,CORRECTED_SINGLE_ERROR,111111110110011,11111111011,false,false,true,true
D_08,2,2,10101010101,101010101011011,11;12,101010101010111,1100,true,8,0000,CORRECTED_SINGLE_ERROR,101010100010111,10101010001,false,false,true,true
D_08,2,3,01010101010,010101010100100,11;12,010101010101000,1100,true,8,0000,CORRECTED_SINGLE_ERROR,010101011101000,01010101110,false,false,true,true
D_09,2,0,00000000000,000000000000000,12;14,000000000000101,0101,true,6,0000,CORRECTED_SINGLE_ERROR,000000100000101,00000010000,false,false,true,true
D_09,2,1,11111111111,111111111111111,12;14,111111111111010,0101,true,6,0000,CORRECTED_SINGLE_ERROR,111111011111010,11111101111,false,false,true,true
D_09,2,2,10101010101,101010101011011,12;14,101010101011110,0101,true,6,0000,CORRECTED_SINGLE_ERROR,101010001011110,10101000101,false,false,true,true
D_09,2,3,01010101010,010101010100100,12;14,010101010100001,0101,true,6,0000,CORRECTED_SINGLE_ERROR,010101110100001,01010111010,false,false,true,true
D_10,2,0,00000000000,000000000000000,3;13,000100000000010,1100,true,8,0000,CORRECTED_SINGLE_ERROR,000100001000010,00010000100,false,false,true,true
D_10,2,1,11111111111,111111111111111,3;13,111011111111101,1100,true,8,0000,CORRECTED_SINGLE_ERROR,111011110111101,11101111011,false,false,true,true
D_10,2,2,10101010101,101010101011011,3;13,101110101011001,1100,true,8,0000,CORRECTED_SINGLE_ERROR,101110100011001,10111010001,false,false,true,true
D_10,2,3,01010101010,010101010100100,3;13,010001010100110,1100,true,8,0000,CORRECTED_SINGLE_ERROR,010001011100110,01000101110,false,false,true,true
D_11,2,0,00000000000,000000000000000,6;9,000000100100000,0011,true,10,0000,CORRECTED_SINGLE_ERROR,000000100110000,00000010011,false,false,true,true
D_11,2,1,11111111111,111111111111111,6;9,111111011011111,0011,true,10,0000,CORRECTED_SINGLE_ERROR,111111011001111,11111101100,false,false,true,true
D_11,2,2,10101010101,101010101011011,6;9,101010001111011,0011,true,10,0000,CORRECTED_SINGLE_ERROR,101010001101011,10101000110,false,false,true,true
D_11,2,3,01010101010,010101010100100,6;9,010101110000100,0011,true,10,0000,CORRECTED_SINGLE_ERROR,010101110010100,01010111001,false,false,true,true
D_12,2,0,00000000000,000000000000000,7;14,000000010000001,1010,true,5,0000,CORRECTED_SINGLE_ERROR,000001010000001,00000101000,false,false,true,true
D_12,2,1,11111111111,111111111111111,7;14,111111101111110,1010,true,5,0000,CORRECTED_SINGLE_ERROR,111110101111110,11111010111,false,false,true,true
D_12,2,2,10101010101,101010101011011,7;14,101010111011010,1010,true,5,0000,CORRECTED_SINGLE_ERROR,101011111011010,10101111101,false,false,true,true
D_12,2,3,01010101010,010101010100100,7;14,010101000100101,1010,true,5,0000,CORRECTED_SINGLE_ERROR,010100000100101,01010000010,false,false,true,true
T3_01,3,0,00000000000,000000000000000,0;1;2,111000000000000,1011,true,7,0000,CORRECTED_SINGLE_ERROR,111000010000000,11100001000,false,false,true,true
T3_01,3,1,11111111111,111111111111111,0;1;2,000111111111111,1011,true,7,0000,CORRECTED_SINGLE_ERROR,000111101111111,00011110111,false,false,true,true
T3_01,3,2,10101010101,101010101011011,0;1;2,010010101011011,1011,true,7,0000,CORRECTED_SINGLE_ERROR,010010111011011,01001011101,false,false,true,true
T3_01,3,3,01010101010,010101010100100,0;1;2,101101010100100,1011,true,7,0000,CORRECTED_SINGLE_ERROR,101101000100100,10110100010,false,false,true,true
T3_02,3,0,00000000000,000000000000000,0;10;14,100000000010001,1011,true,7,0000,CORRECTED_SINGLE_ERROR,100000010010001,10000001001,false,false,true,true
T3_02,3,1,11111111111,111111111111111,0;10;14,011111111101110,1011,true,7,0000,CORRECTED_SINGLE_ERROR,011111101101110,01111110110,false,false,true,true
T3_02,3,2,10101010101,101010101011011,0;10;14,001010101001010,1011,true,7,0000,CORRECTED_SINGLE_ERROR,001010111001010,00101011100,false,false,true,true
T3_02,3,3,01010101010,010101010100100,0;10;14,110101010110101,1011,true,7,0000,CORRECTED_SINGLE_ERROR,110101000110101,11010100011,false,false,true,true
T3_03,3,0,00000000000,000000000000000,1;11;14,010000000001001,0100,true,12,0000,CORRECTED_SINGLE_ERROR,010000000001101,01000000000,false,false,true,true
T3_03,3,1,11111111111,111111111111111,1;11;14,101111111110110,0100,true,12,0000,CORRECTED_SINGLE_ERROR,101111111110010,10111111111,false,false,true,true
T3_03,3,2,10101010101,101010101011011,1;11;14,111010101010010,0100,true,12,0000,CORRECTED_SINGLE_ERROR,111010101010110,11101010101,false,false,true,true
T3_03,3,3,01010101010,010101010100100,1;11;14,000101010101101,0100,true,12,0000,CORRECTED_SINGLE_ERROR,000101010101001,00010101010,false,false,true,true
T3_04,3,0,00000000000,000000000000000,4;5;6,000011100000000,1000,true,11,0000,CORRECTED_SINGLE_ERROR,000011100001000,00001110000,false,false,true,true
T3_04,3,1,11111111111,111111111111111,4;5;6,111100011111111,1000,true,11,0000,CORRECTED_SINGLE_ERROR,111100011110111,11110001111,false,false,true,true
T3_04,3,2,10101010101,101010101011011,4;5;6,101001001011011,1000,true,11,0000,CORRECTED_SINGLE_ERROR,101001001010011,10100100101,false,false,true,true
T3_04,3,3,01010101010,010101010100100,4;5;6,010110110100100,1000,true,11,0000,CORRECTED_SINGLE_ERROR,010110110101100,01011011010,false,false,true,true
T3_05,3,0,00000000000,000000000000000,2;8;13,001000001000010,0001,true,14,0000,CORRECTED_SINGLE_ERROR,001000001000011,00100000100,false,false,true,true
T3_05,3,1,11111111111,111111111111111,2;8;13,110111110111101,0001,true,14,0000,CORRECTED_SINGLE_ERROR,110111110111100,11011111011,false,false,true,true
T3_05,3,2,10101010101,101010101011011,2;8;13,100010100011001,0001,true,14,0000,CORRECTED_SINGLE_ERROR,100010100011000,10001010001,false,false,true,true
T3_05,3,3,01010101010,010101010100100,2;8;13,011101011100110,0001,true,14,0000,CORRECTED_SINGLE_ERROR,011101011100111,01110101110,false,false,true,true
T3_06,3,0,00000000000,000000000000000,10;11;12,000000000011100,1111,true,2,0000,CORRECTED_SINGLE_ERROR,001000000011100,00100000001,false,false,true,true
T3_06,3,1,11111111111,111111111111111,10;11;12,111111111100011,1111,true,2,0000,CORRECTED_SINGLE_ERROR,110111111100011,11011111110,false,false,true,true
T3_06,3,2,10101010101,101010101011011,10;11;12,101010101000111,1111,true,2,0000,CORRECTED_SINGLE_ERROR,100010101000111,10001010100,false,false,true,true
T3_06,3,3,01010101010,010101010100100,10;11;12,010101010111000,1111,true,2,0000,CORRECTED_SINGLE_ERROR,011101010111000,01110101011,false,false,true,true
T4_01,4,0,00000000000,000000000000000,0;1;2;3,111100000000000,0101,true,6,0000,CORRECTED_SINGLE_ERROR,111100100000000,11110010000,false,false,true,true
T4_01,4,1,11111111111,111111111111111,0;1;2;3,000011111111111,0101,true,6,0000,CORRECTED_SINGLE_ERROR,000011011111111,00001101111,false,false,true,true
T4_01,4,2,10101010101,101010101011011,0;1;2;3,010110101011011,0101,true,6,0000,CORRECTED_SINGLE_ERROR,010110001011011,01011000101,false,false,true,true
T4_01,4,3,01010101010,010101010100100,0;1;2;3,101001010100100,0101,true,6,0000,CORRECTED_SINGLE_ERROR,101001110100100,10100111010,false,false,true,true
T4_02,4,0,00000000000,000000000000000,0;10;11;14,100000000011001,0011,true,10,0000,CORRECTED_SINGLE_ERROR,100000000001001,10000000000,false,false,true,true
T4_02,4,1,11111111111,111111111111111,0;10;11;14,011111111100110,0011,true,10,0000,CORRECTED_SINGLE_ERROR,011111111110110,01111111111,false,false,true,true
T4_02,4,2,10101010101,101010101011011,0;10;11;14,001010101000010,0011,true,10,0000,CORRECTED_SINGLE_ERROR,001010101010010,00101010101,false,false,true,true
T4_02,4,3,01010101010,010101010100100,0;10;11;14,110101010111101,0011,true,10,0000,CORRECTED_SINGLE_ERROR,110101010101101,11010101010,false,false,true,true
T4_03,4,0,00000000000,000000000000000,1;5;9;13,010001000100010,0011,true,10,0000,CORRECTED_SINGLE_ERROR,010001000110010,01000100011,false,false,true,true
T4_03,4,1,11111111111,111111111111111,1;5;9;13,101110111011101,0011,true,10,0000,CORRECTED_SINGLE_ERROR,101110111001101,10111011100,false,false,true,true
T4_03,4,2,10101010101,101010101011011,1;5;9;13,111011101111001,0011,true,10,0000,CORRECTED_SINGLE_ERROR,111011101101001,11101110110,false,false,true,true
T4_03,4,3,01010101010,010101010100100,1;5;9;13,000100010000110,0011,true,10,0000,CORRECTED_SINGLE_ERROR,000100010010110,00010001001,false,false,true,true
T4_04,4,0,00000000000,000000000000000,11;12;13;14,000000000001111,1111,true,2,0000,CORRECTED_SINGLE_ERROR,001000000001111,00100000000,false,false,true,true
T4_04,4,1,11111111111,111111111111111,11;12;13;14,111111111110000,1111,true,2,0000,CORRECTED_SINGLE_ERROR,110111111110000,11011111111,false,false,true,true
T4_04,4,2,10101010101,101010101011011,11;12;13;14,101010101010100,1111,true,2,0000,CORRECTED_SINGLE_ERROR,100010101010100,10001010101,false,false,true,true
T4_04,4,3,01010101010,010101010100100,11;12;13;14,010101010101011,1111,true,2,0000,CORRECTED_SINGLE_ERROR,011101010101011,01110101010,false,false,true,true
T4_05,4,0,00000000000,000000000000000,2;3;10;14,001100000010001,0011,true,10,0000,CORRECTED_SINGLE_ERROR,001100000000001,00110000000,false,false,true,true
T4_05,4,1,11111111111,111111111111111,2;3;10;14,110011111101110,0011,true,10,0000,CORRECTED_SINGLE_ERROR,110011111111110,11001111111,false,false,true,true
T4_05,4,2,10101010101,101010101011011,2;3;10;14,100110101001010,0011,true,10,0000,CORRECTED_SINGLE_ERROR,100110101011010,10011010101,false,false,true,true
T4_05,4,3,01010101010,010101010100100,2;3;10;14,011001010110101,0011,true,10,0000,CORRECTED_SINGLE_ERROR,011001010100101,01100101010,false,false,true,true
T4_06,4,0,00000000000,000000000000000,4;7;11;13,000010010001010,0110,true,9,0000,CORRECTED_SINGLE_ERROR,000010010101010,00001001010,false,false,true,true
T4_06,4,1,11111111111,111111111111111,4;7;11;13,111101101110101,0110,true,9,0000,CORRECTED_SINGLE_ERROR,111101101010101,11110110101,false,false,true,true
T4_06,4,2,10101010101,101010101011011,4;7;11;13,101000111010001,0110,true,9,0000,CORRECTED_SINGLE_ERROR,101000111110001,10100011111,false,false,true,true
T4_06,4,3,01010101010,010101010100100,4;7;11;13,010111000101110,0110,true,9,0000,CORRECTED_SINGLE_ERROR,010111000001110,01011100000,false,false,true,true
