caseId,ebn0Index,ebn0Db,rationale
K200_S15,0,8.0,historical range and stage07 manual trial low point
K200_S15,1,12.0,historical range and stage07 manual trial middle point
K200_S15,2,16.0,historical range and stage07 manual trial high point
K200_M255K207,0,6.0,historical range and stage07 manual trial low point
K200_M255K207,1,8.0,historical range and stage07 manual trial middle point
K200_M255K207,2,10.0,historical range and stage07 manual trial high point
K200_M511K421,0,4.0,stronger code manual low point
K200_M511K421,1,6.0,stronger code manual middle point
K200_M511K421,2,8.0,stronger code manual high point
K200_M511K385,0,3.0,strongest code manual low point
K200_M511K385,1,5.0,strongest code manual middle point
K200_M511K385,2,7.0,strongest code manual high point
K300_S15,0,8.0,historical range and stage07 manual trial low point
K300_S15,1,12.0,historical range and stage07 manual trial middle point
K300_S15,2,16.0,historical range and stage07 manual trial high point
K300_M255K207,0,6.0,dual-block manual low point
K300_M255K207,1,8.0,dual-block manual middle point
K300_M255K207,2,10.0,dual-block manual high point
K300_M511K421,0,6.0,historical range and stage07 manual trial low point
K300_M511K421,1,8.0,historical range and stage07 manual trial middle point
K300_M511K421,2,10.0,historical range and stage07 manual trial high point
K300_M511K385,0,5.0,historical range and stage07 manual trial low point
K300_M511K385,1,7.0,historical range and stage07 manual trial middle point
K300_M511K385,2,9.0,historical range and stage07 manual trial high point
