caseName,pattern,errorKind,payload,motherCodeword,shortenedCodeword,received,syndromes,allZeroSyndrome,nonzeroSyndromeCount,locator,locatorDegree,rootPositions,shortenedErrorPositions,rootsInShortenedPrefix,correctedShortened,decodedPayload,postSyndromes,postSyndromeZero,bmIterationCount,failureReason,status,truePayloadRecovered,reportedSuccess,miscorrected
BCH-B200,0,WEIGHT_2,01001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110,000000001001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110010001111100001100001101001110111011110010101101,01001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110010001111100001100001101001110111011110010101101,01001011010010011110100101101101001011010010010110100101101101001011000010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110010001111100001100001101001110111011110010101101,94:132:75:3:154:136:55:5:80:74:57:83,0,12,1:94:57,2,23:76,16:69,0,01001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110010001111100001100001101001110111011110010101101,01001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110,0:0:0:0:0:0:0:0:0:0:0:0,1,12,,CORRECTED,1,1,0
BCH-B200,1,WEIGHT_2,11010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100,000000011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100100101010100111110101010000010010000010100111101,11010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100100101010100111110101010000010010000010100111101,11010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100001101001001011010010110110101101101001001011010010110110100100101010100111110101010000010010000010100111101,16:29:154:76:170:74:51:157:133:35:99:137,0,12,1:16:55,2,147:176,140:169,0,11010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100100101010100111110101010000010010000010100111101,11010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100,0:0:0:0:0:0:0:0:0:0:0:0,1,12,,CORRECTED,1,1,0
BCH-B200,2,WEIGHT_2,10010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101,000000010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101000111010010110011101101011111000001101100001100,10010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101000111010010110011101101011111000001101100001100,10110110100100101100001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101000111010010110011101101011111000001101100001100,212:211:213:198:156:210:86:202:92:94:191:199,0,12,1:212:43,2,9:26,2:19,0,10010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101000111010010110011101101011111000001101100001100,10010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101,0:0:0:0:0:0:0:0:0:0:0:0,1,12,,CORRECTED,1,1,0
BCH-B200,3,WEIGHT_2,10100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001,000000010100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001100000001001101010111101100101010011110110101010,10100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001100000001001101010111101100101010011110110101010,10100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001100000001001101010111101100101010010110110001010,237:251:3:242:186:5:247:179:17:62:24:17,0,12,1:237:152,2,242:249,235:242,0,10100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001100000001001101010111101100101010011110110101010,10100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001,0:0:0:0:0:0:0:0:0:0:0:0,1,12,,CORRECTED,1,1,0
BCH-B200,4,WEIGHT_2,00101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010,000000000101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010000000000110111111010011110101101000001010000110,00101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010000000000110111111010011110101101000001010000110,00100101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010000000000110111111010011110101101000101010000110,149:31:113:72:196:165:143:141:175:206:179:118,0,12,1:149:142,2,11:243,4:236,0,00101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010000000000110111111010011110101101000001010000110,00101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010,0:0:0:0:0:0:0:0:0:0:0:0,1,12,,CORRECTED,1,1,0
BCH-B200,5,WEIGHT_2,01001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010,000000001001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010111001010111111001101000110110110000100011101101,01001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010111001010111111001101000110110110000100011101101,01001001011010010110101100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010111001010111111001101000110110110000100011101101,108:233:109:235:125:232:213:239:26:245:215:234,0,12,1:108:200,2,28:29,21:22,0,01001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010111001010111111001101000110110110000100011101101,01001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010,0:0:0:0:0:0:0:0:0:0:0:0,1,12,,CORRECTED,1,1,0
BCH-B200,6,WEIGHT_2,01011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100,000000001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100011110110000001011110101111011011001001101011101,01011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100011110110000001011110101111011011001001101011101,11011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100011110110000001011110101111011011001001101011100,130:23:244:8:238:167:15:64:197:254:127:114,0,12,1:130:131,2,7:254,0:247,0,01011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100011110110000001011110101111011011001001101011101,01011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100,0:0:0:0:0:0:0:0:0:0:0:0,1,12,,CORRECTED,1,1,0
BCH-B200,7,WEIGHT_2,10010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101,000000010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101011010001010101110011110110000001010101100111100,10010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101011010001010101110011110110000001010101100111100,10010110110100101101001101011010010010110100101101101001011010010010110100100101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101011010001010101110011110110000001010101100111100,161:102:183:173:206:111:79:54:207:138:60:236,0,12,1:161:132,2,30:83,23:76,0,10010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101011010001010101110011110110000001010101100111100,10010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101,0:0:0:0:0:0:0:0:0:0:0:0,1,12,,CORRECTED,1,1,0
BCH-B200,8,WEIGHT_2,10110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001,000000010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011111001011000000001100101111101100111001010,10110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011111001011000000001100101111101100111001010,10110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010011110100100101101001011011010000110100100101101001001011111001011000000001100101111101100111001010,27:88:31:144:217:72:70:14:48:130:181:141,0,12,1:27:99,2,158:187,151:180,0,10110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011111001011000000001100101111101100111001010,10110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001,0:0:0:0:0:0:0:0:0:0:0:0,1,12,,CORRECTED,1,1,0
BCH-B200,9,WEIGHT_2,00101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011,000000000101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010100001100101111011101011100101011000101000,00101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010100001100101111011101011100101011000101000,00101101111001011010010010010100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010100001100101111011101011100101011000101000,78:153:79:79:1:152:215:152:153:1:214:78,0,12,1:78:221,2,16:33,9:26,0,00101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010100001100101111011101011100101011000101000,00101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011,0:0:0:0:0:0:0:0:0:0:0:0,1,12,,CORRECTED,1,1,0
