caseId,snrIndex,snrDb
K300_S15,14,7.0
K300_S15,15,7.5
K300_S15,16,8.0
K300_S15,17,8.5
K300_S15,18,9.0
K300_S15,19,9.5
K300_S15,20,10.0
K300_S15,21,10.5
K300_S15,22,11.0
K300_S15,23,11.5
K300_S15,24,12.0
K300_S15,25,12.5
K300_S15,26,13.0
K300_S15,27,13.5
K300_S15,28,14.0
K300_S15,29,14.5
K300_S15,30,15.0
K300_S15,31,15.5
K300_S15,32,16.0
K300_S15,33,16.5
K300_S15,34,17.0
K300_S15,35,17.5
K300_S15,36,18.0
K300_M255K207,0,0.0
K300_M255K207,1,0.5
K300_M255K207,2,1.0
K300_M255K207,3,1.5
K300_M255K207,4,2.0
K300_M255K207,5,2.5
K300_M255K207,6,3.0
K300_M255K207,7,3.5
K300_M255K207,8,4.0
K300_M255K207,9,4.5
K300_M255K207,10,5.0
K300_M255K207,11,5.5
K300_M255K207,12,6.0
K300_M255K207,13,6.5
K300_M255K207,14,7.0
K300_M255K207,15,7.5
K300_M255K207,16,8.0
K300_M255K207,17,8.5
K300_M255K207,18,9.0
K300_M255K207,19,9.5
K300_M255K207,20,10.0
K300_M255K207,21,10.5
K300_M255K207,22,11.0
K300_M255K207,23,11.5
K300_M255K207,24,12.0
K300_M255K207,25,12.5
K300_M255K207,26,13.0
K300_M255K207,27,13.5
K300_M255K207,28,14.0
K300_M255K207,29,14.5
K300_M255K207,30,15.0
K300_M255K207,31,15.5
K300_M255K207,32,16.0
K300_M255K207,33,16.5
K300_M255K207,34,17.0
K300_M255K207,35,17.5
K300_M255K207,36,18.0
K300_M511K421,0,0.0
K300_M511K421,1,0.5
K300_M511K421,2,1.0
K300_M511K421,3,1.5
K300_M511K421,4,2.0
K300_M511K421,5,2.5
K300_M511K421,6,3.0
K300_M511K421,7,3.5
K300_M511K421,8,4.0
K300_M511K421,9,4.5
K300_M511K421,10,5.0
K300_M511K421,11,5.5
K300_M511K421,12,6.0
K300_M511K421,13,6.5
K300_M511K421,14,7.0
K300_M511K421,15,7.5
K300_M511K421,16,8.0
K300_M511K421,17,8.5
K300_M511K421,18,9.0
K300_M511K421,19,9.5
K300_M511K421,20,10.0
K300_M511K421,21,10.5
K300_M511K421,22,11.0
K300_M511K421,23,11.5
K300_M511K421,24,12.0
K300_M511K421,25,12.5
K300_M511K421,26,13.0
K300_M511K421,27,13.5
K300_M511K421,28,14.0
K300_M511K421,29,14.5
K300_M511K421,30,15.0
K300_M511K421,31,15.5
K300_M511K421,32,16.0
K300_M511K421,33,16.5
K300_M511K421,34,17.0
K300_M511K421,35,17.5
K300_M511K421,36,18.0
K300_M511K385,0,0.0
K300_M511K385,1,0.5
K300_M511K385,2,1.0
K300_M511K385,3,1.5
K300_M511K385,4,2.0
K300_M511K385,5,2.5
K300_M511K385,6,3.0
K300_M511K385,7,3.5
K300_M511K385,8,4.0
K300_M511K385,9,4.5
K300_M511K385,10,5.0
K300_M511K385,11,5.5
K300_M511K385,12,6.0
K300_M511K385,13,6.5
K300_M511K385,14,7.0
K300_M511K385,15,7.5
K300_M511K385,16,8.0
K300_M511K385,17,8.5
K300_M511K385,18,9.0
K300_M511K385,19,9.5
K300_M511K385,20,10.0
K300_M511K385,21,10.5
K300_M511K385,22,11.0
K300_M511K385,23,11.5
K300_M511K385,24,12.0
K300_M511K385,25,12.5
K300_M511K385,26,13.0
K300_M511K385,27,13.5
K300_M511K385,28,14.0
K300_M511K385,29,14.5
K300_M511K385,30,15.0
K300_M511K385,31,15.5
K300_M511K385,32,16.0
K300_M511K385,33,16.5
K300_M511K385,34,17.0
K300_M511K385,35,17.5
K300_M511K385,36,18.0
