formalFigureDir,figurePng,figureDataCsv,plotManifestJson,readmeTxt,module,xAxis,xMeaning,xUnit,yAxis,yMeaning,seriesNames,dataPointCount,coverageRange,hasZeroErrorPoints,zeroErrorPlotPolicy,hasNA,deletedPoints,smoothing,interpolation,extrapolation,pngCsvManifestConsistency,upstreamFormalCsv,upstreamFilterRule,supportsConclusion,doesNotSupport,chapterSection,layoutSuggestion,blockingIssue
bch_01_ber,Task/Comparison/S6/results/summary/figures/bch_01_ber/figure.png,Task/Comparison/S6/results/summary/figures/bch_01_ber/figure_data.csv,Task/Comparison/S6/results/summary/figures/bch_01_ber/plot_manifest.json,Task/Comparison/S6/results/summary/figures/bch_01_ber/readme.txt,BCH,Es/N0,symbol SNR used by AWGN variance,dB,BER,decoded bit errors / payload bits,BCH-S200; BCH-B200,62,-5.0..10.0 dB; 31 SNR points,YES,原始零值保留，plotValue留空且不在对数轴绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_formal_results.csv,plot_s6.py scheme/metric filters per figure id,Reliability BER,Pure decoder-only causality,BCH scheme boundary,pair with bch_02,NONE
bch_02_fer,Task/Comparison/S6/results/summary/figures/bch_02_fer/figure.png,Task/Comparison/S6/results/summary/figures/bch_02_fer/figure_data.csv,Task/Comparison/S6/results/summary/figures/bch_02_fer/plot_manifest.json,Task/Comparison/S6/results/summary/figures/bch_02_fer/readme.txt,BCH,Es/N0,symbol SNR used by AWGN variance,dB,FER,decoded frame errors / frames,BCH-S200; BCH-B200,62,-5.0..10.0 dB; 31 SNR points,YES,原始零值保留，plotValue留空且不在对数轴绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_formal_results.csv,plot_s6.py scheme/metric filters per figure id,Reliability FER and thresholds,Pure decoder-only causality,BCH scheme boundary,pair with bch_01,NONE
bch_03_segmented_operations,Task/Comparison/S6/results/summary/figures/bch_03_segmented_operations/figure.png,Task/Comparison/S6/results/summary/figures/bch_03_segmented_operations/figure_data.csv,Task/Comparison/S6/results/summary/figures/bch_03_segmented_operations/plot_manifest.json,Task/Comparison/S6/results/summary/figures/bch_03_segmented_operations/readme.txt,BCH,Es/N0,symbol SNR used by AWGN variance,dB,operations/frame,S200 operation events,syndrome calc; bit test; lookup; bit flip; post-check,155,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_complexity_results.csv,plot_s6.py scheme/metric filters per figure id,Lookup operation scale,Pure decoder-only causality,BCH complexity,combine with bch_04/05,NONE
bch_04_block_operations,Task/Comparison/S6/results/summary/figures/bch_04_block_operations/figure.png,Task/Comparison/S6/results/summary/figures/bch_04_block_operations/figure_data.csv,Task/Comparison/S6/results/summary/figures/bch_04_block_operations/plot_manifest.json,Task/Comparison/S6/results/summary/figures/bch_04_block_operations/readme.txt,BCH,Es/N0,symbol SNR used by AWGN variance,dB,operations/frame,B200 operation events,syndrome eval; BM; Chien; GF add/mul/div,186,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_complexity_results.csv,plot_s6.py scheme/metric filters per figure id,BM+Chien operation scale,Pure decoder-only causality,BCH complexity,combine with bch_03/05,NONE
bch_05_operation_structure,Task/Comparison/S6/results/summary/figures/bch_05_operation_structure/figure.png,Task/Comparison/S6/results/summary/figures/bch_05_operation_structure/figure_data.csv,Task/Comparison/S6/results/summary/figures/bch_05_operation_structure/plot_manifest.json,Task/Comparison/S6/results/summary/figures/bch_05_operation_structure/readme.txt,BCH,category,scheme/metric category,category,operations/frame,cross-SNR mean operation structure,S200 categories; B200 categories,4,4 category rows,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_complexity_results.csv,plot_s6.py scheme/metric filters per figure id,Operation type mix,Pure decoder-only causality,BCH complexity,operation group,NONE
bch_06_memory,Task/Comparison/S6/results/summary/figures/bch_06_memory/figure.png,Task/Comparison/S6/results/summary/figures/bch_06_memory/figure_data.csv,Task/Comparison/S6/results/summary/figures/bch_06_memory/plot_manifest.json,Task/Comparison/S6/results/summary/figures/bch_06_memory/readme.txt,BCH,category,scheme/metric category,category,bytes,modeled decoder memory/workspace,total memory; peak workspace,4,4 category rows,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_memory_results.csv,plot_s6.py scheme/metric filters per figure id,Memory accounting,Pure decoder-only causality,BCH storage,with complexity,NONE
bch_07_avg_time,Task/Comparison/S6/results/summary/figures/bch_07_avg_time/figure.png,Task/Comparison/S6/results/summary/figures/bch_07_avg_time/figure_data.csv,Task/Comparison/S6/results/summary/figures/bch_07_avg_time/plot_manifest.json,Task/Comparison/S6/results/summary/figures/bch_07_avg_time/readme.txt,BCH,Es/N0,symbol SNR used by AWGN variance,dB,microseconds,mean frame decode time,BCH-S200; BCH-B200,62,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_formal_results.csv,plot_s6.py scheme/metric filters per figure id,Software mean latency,Pure decoder-only causality,BCH latency,latency group,NONE
bch_08_p95_time,Task/Comparison/S6/results/summary/figures/bch_08_p95_time/figure.png,Task/Comparison/S6/results/summary/figures/bch_08_p95_time/figure_data.csv,Task/Comparison/S6/results/summary/figures/bch_08_p95_time/plot_manifest.json,Task/Comparison/S6/results/summary/figures/bch_08_p95_time/readme.txt,BCH,Es/N0,symbol SNR used by AWGN variance,dB,microseconds,frame decode p95,BCH-S200; BCH-B200,62,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_formal_results.csv,plot_s6.py scheme/metric filters per figure id,Tail latency p95,Pure decoder-only causality,BCH latency,latency group,NONE
bch_09_p99_time,Task/Comparison/S6/results/summary/figures/bch_09_p99_time/figure.png,Task/Comparison/S6/results/summary/figures/bch_09_p99_time/figure_data.csv,Task/Comparison/S6/results/summary/figures/bch_09_p99_time/plot_manifest.json,Task/Comparison/S6/results/summary/figures/bch_09_p99_time/readme.txt,BCH,Es/N0,symbol SNR used by AWGN variance,dB,microseconds,frame decode p99,BCH-S200; BCH-B200,62,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_formal_results.csv,plot_s6.py scheme/metric filters per figure id,Tail latency p99,Pure decoder-only causality,BCH latency,latency group,NONE
bch_10_max_time,Task/Comparison/S6/results/summary/figures/bch_10_max_time/figure.png,Task/Comparison/S6/results/summary/figures/bch_10_max_time/figure_data.csv,Task/Comparison/S6/results/summary/figures/bch_10_max_time/plot_manifest.json,Task/Comparison/S6/results/summary/figures/bch_10_max_time/readme.txt,BCH,Es/N0,symbol SNR used by AWGN variance,dB,microseconds,max observed frame decode time,BCH-S200; BCH-B200,62,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_formal_results.csv,plot_s6.py scheme/metric filters per figure id,Max observed latency,Pure decoder-only causality,BCH latency,latency group,NONE
