module,source_paths,source_commits,purpose,needed_by_formal_s2,algorithm_maturity,test_coverage,matlab_coverage,depends_on_old_case_matrix,depends_on_old_results,duplicate_implementation,recommended_action,target_path,notes
fixed_multipath_and_mmse,current/include/bch_simulation/{bch_multipath_simulation,fixed_multipath_mmse}.hpp;current/src/{bch_multipath_simulation,fixed_multipath_mmse}.cpp,069373b,base channel and equalizer,yes,stable,test_bch_s2_mmse,vector exporter,no,no,no,ACCEPT,retain current paths,already present on main
residual_cfo_and_blockage,current/include/bch_simulation/bch_impairment_channels.hpp;current/src/bch_impairment_channels.cpp,df5aac5,channel impairment primitives,yes,reviewed,test_bch_s2_impairments,archive reference,no,no,no,ACCEPT,current/include and src,extract without results
impairment_simulation,current/include/bch_simulation/bch_impairment_simulation.hpp;current/src/bch_impairment_simulation.cpp,df5aac5,deterministic impairment runner core,yes,reviewed,test_bch_s2_impairments,archive reference,yes,no,no,ACCEPT_AFTER_REFACTOR,current/include and src,uses old case adapter until formal interface exists
burst_injection,current/include/bch_simulation/bch_burst_simulation.hpp;current/src/bch_burst_simulation.cpp,df5aac5,consecutive bit-flip channel,yes,reviewed,test_bch_s2_burst_redesign,archive reference,no,no,no,ACCEPT,current/include and src,zero-length degeneration tested
interleaver,current/include/bch_simulation/bch_interleaver.hpp;current/src/bch_interleaver.cpp,df5aac5,permutation and inverse mapping,yes,reviewed,test_bch_s2_burst_redesign,archive reference,no,no,no,ACCEPT,current/include and src,keep deterministic seed interface
error_structure_analysis,current/src/bch_burst_audit_runner.cpp,df5aac5,prototype reporting,optional,prototype,indirect,none,yes,yes,no,ARCHIVE_ONLY,,depends on old audit outputs
case_adapter,current/include/bch_simulation/bch_case_adapter.hpp;current/src/bch_case_adapter.cpp,069373b,shared BCH coding interface,yes,stable,S1 and S2,existing,no,no,no,ACCEPT,retain current paths,shared with S1; do not duplicate
metrics,Task/Common/include and src,main,raw BER FER counters,yes,stable,Common tests,none,no,no,no,ACCEPT,Task/Common,shared existing implementation
checkpoint_resume,Task/Common/include and src/checkpoint.cpp,main,reproducible restart,yes,stable,Common tests,none,no,no,no,ACCEPT,Task/Common,shared existing implementation
shard_merge,scripts and prototype runners,df5aac5,formal workload partitioning,yes,prototype,archive checks,archive only,yes,yes,no,ACCEPT_AFTER_REFACTOR,scripts/foundation,do not import result-bound checker
matlab_vector_export,current tests exporters,df5aac5,frame-level reference exchange,yes,reviewed,export executables,archive reference,yes,no,no,ACCEPT_AFTER_REFACTOR,scripts/foundation/matlab,formal neutral schema required
matlab_reference,current matlab S2 references,df5aac5,independent reference algorithms,yes,reviewed,archive validation,yes,yes,no,ARCHIVE_ONLY,,separate clean reference design required
plot_manifest,prototype plot manifests,df5aac5,figure data audit,yes,reviewed,archive checker,none,yes,yes,no,ACCEPT_AFTER_REFACTOR,scripts/foundation/audit,exclude all historical PNG CSV
hash_audit,prototype checkers,df5aac5,artifact identity checks,yes,reviewed,archive checker,none,no,yes,no,ACCEPT_AFTER_REFACTOR,scripts/foundation/audit,only generic hash utilities
domain_random_policy,Task/Common random_policy.cpp,main,domain separated randomness,yes,stable,Common tests,none,no,no,no,ACCEPT,Task/Common,shared existing implementation
unbiased_random_start,current/src/bch_burst_simulation.cpp,df5aac5,uniform legal start sampling,yes,reviewed,test_bch_s2_burst_redesign,archive reference,no,no,no,ACCEPT,current/src,retain rejection sampling
progress_and_run_audit,prototype runners and logs,df5aac5,operational tracing,optional,prototype,archive only,none,yes,yes,no,ARCHIVE_ONLY,,not a formal foundation API
legacy_results_and_gates,stages and results,df5aac5,prototype evidence,no,archive,archive only,archive only,yes,yes,no,ARCHIVE_ONLY,,never import into foundation
