stage,gate,status,contentCommits
stage01_cc_contract,PASS_STAGE01_CC_CONTRACT,PASS,df295c90a18d43762c6154b76d97b6f28d524062
stage02_trellis_encoder,PASS_STAGE02_CC_TRELLIS_ENCODER,PASS,4b268e385eda34c79352ca186a57985b7d93869a|b79749d6b4e6fc5ef97ade3ac226078494e834f2
stage03_hard_viterbi,PASS_STAGE03_CC_HARD_VITERBI,PASS,b43def06a5b325790f34107751cb732a0dcb72b0
stage04_soft_viterbi,PASS_STAGE04_CC_SOFT_VITERBI,PASS,52a679b1879210024a7d3c17fcdda0a9638b934d
stage05_matlab_reference,PASS_STAGE05_CC_MATLAB_REFERENCE,PASS,47057c4293a415f054675f8c63d7a94e3451b047
stage06_puncturing,PASS_STAGE06_CC_PUNCTURING,PASS,074474416a92bebcc63c6deb6bed3474d2f2fd46
stage07_block_noiseless,PASS_STAGE07_CC_BLOCK_NOISELESS,PASS,f75c99548ef481fb6822e67ddd0d947be3982a6e|2f5dba8c301c01a82530655c9765214068e58e27
stage08_awgn_prescan,PASS_STAGE08_CC_AWGN_PRESCAN,PASS,6af44b8cee354cdbd49a2abc0ef5befed22995a4|e9e132f6de01ab512a2f310ad84b96f917b27dfe
stage09_awgn_formal,PASS_STAGE09_CC_AWGN_FORMAL,PASS,84c6a54a7b29d629223b796d1edea857fc6f8460
stage10_traceback_study,PASS_STAGE10_CC_TRACEBACK_STUDY,PASS,17d65c1c433943af2c80415e1bccf76e9c3e5bd4
stage11_soft_quantization,PASS_STAGE11_CC_SOFT_QUANTIZATION,PASS,f4cad80c878c24653e01b3aa4b0100198ef783fb
stage12_continuous_encoder,PASS_STAGE12_CC_CONTINUOUS_ENCODER,PASS,85f70fcc6e30306eb1608da86116237af985585e
stage13_sliding_window_viterbi,PASS_STAGE13_CC_SLIDING_WINDOW,PASS,ea54079373ea4cc865e2ea152be8a86094b9ae8f
stage14_block_continuous_comparison,PASS_STAGE14_CC_BLOCK_CONTINUOUS_COMPARISON,PASS,d1be888c0feca499b6a9c1c9a3d983dedbf6cb25
